# field	phot_id	z_best_s	use_phot	use_zgrism	z_best	z_best_l95	z_best_l68	z_best_u68	z_best_u95
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos	236	3	1	0	0.0994	0.0190	0.0550	0.1740	1.5880
cosmos	237	3	1	0	2.7360	1.7320	2.2310	3.1250	3.2780
cosmos	238	3	1	0	1.4547	1.3280	1.3820	1.5340	1.5850
cosmos	239	3	1	0	0.3539	0.3290	0.3360	0.3720	0.3810
cosmos	240	3	1	0	0.2170	0.1920	0.2030	0.2330	0.2380
cosmos	241	3	1	0	2.2335	2.0550	2.1710	2.3060	2.3500
cosmos	242	3	0	0	1.8514	1.8030	1.8170	1.8950	1.9120
cosmos	243	3	1	0	0.8716	0.3800	0.7280	1.0120	1.1430
cosmos	244	3	1	0	0.1298	0.0750	0.0930	0.4380	0.4620
cosmos	245	3	1	0	1.9985	1.8770	1.9330	2.0610	2.0920
cosmos	246	3	1	0	1.6985	1.3540	1.5120	1.8720	2.0960
cosmos	247	3	1	0	0.3049	0.0800	0.1700	0.4190	0.6200
cosmos	248	3	1	0	1.8670	1.3740	1.4700	2.2000	2.3030
cosmos	249	3	1	0	2.3630	2.5210	2.5430	2.7280	2.8420
cosmos	250	3	1	0	2.6306	2.4230	2.5370	2.7200	2.8080
cosmos	251	3	1	0	0.6022	0.2360	0.4210	0.8030	3.2530
cosmos	252	3	1	0	1.3155	0.6440	1.0240	1.6580	2.2770
cosmos	253	3	1	0	0.6600	0.6320	0.6410	0.6800	0.6850
cosmos	254	3	1	0	1.0265	0.9970	1.0030	1.0510	1.0570
cosmos	255	3	1	0	1.0928	0.6560	0.9150	1.2360	1.6440
cosmos	256	3	1	0	1.2007	0.8220	1.0960	1.3280	1.4600
cosmos	257	3	1	0	0.9306	0.8370	0.8670	1.0250	1.0560
cosmos	258	3	1	0	2.7176	2.5290	2.6290	2.8150	2.8790
cosmos	259	3	0	0	0.0100	0.0100	0.0110	0.0240	0.0250
cosmos	260	3	1	0	0.6365	0.5320	0.5760	0.7180	0.7560
cosmos	261	3	1	0	0.5638	0.3470	0.4570	0.6680	0.7560
cosmos	262	3	1	0	0.3486	0.1610	0.2170	0.4620	0.5660
cosmos	263	3	1	0	0.8712	0.7350	0.8150	0.9250	0.9510
cosmos	264	3	1	0	1.5386	1.2030	1.3840	1.6500	1.6980
cosmos	265	3	1	0	0.2683	0.1000	0.1250	0.4040	0.5350
cosmos	266	3	1	0	0.0685	0.0310	0.0400	0.1510	0.1650
cosmos	267	3	1	0	2.1022	1.8210	1.9920	2.2130	2.2870
cosmos	268	3	1	0	0.9704	0.7570	0.8660	1.0830	1.1410
cosmos	269	3	1	0	0.0608	0.0110	0.0470	0.0740	0.0770
cosmos	270	3	1	0	1.2388	1.1970	1.2120	1.2680	1.2880
cosmos	271	3	1	0	1.3529	1.0540	1.2080	1.4990	1.6260
cosmos	272	3	0	0	1.0131	0.9780	0.9860	1.0370	1.0540
cosmos	273	3	1	0	1.5217	0.0460	0.1040	1.6190	1.7290
cosmos	274	3	1	0	0.9081	0.6940	0.8110	1.0000	1.1310
cosmos	275	3	1	0	0.7184	0.2520	0.5000	3.7080	4.2510
cosmos	276	3	1	0	2.9787	2.8940	2.9250	3.0360	3.0740
cosmos	277	3	1	0	1.4302	1.3470	1.3830	1.4790	1.5200
cosmos	278	3	1	0	1.6658	1.1990	1.4560	1.8800	2.1530
cosmos	279	3	1	0	2.7356	2.6000	2.6670	2.8070	2.8470
cosmos	280	3	0	0	2.0427	1.9330	1.9820	2.1040	2.1730
cosmos	281	3	1	0	1.5583	1.2850	1.3700	1.7860	2.2620
cosmos	282	3	1	0	0.5088	0.4770	0.4880	0.5320	0.5450
cosmos	283	3	1	0	1.9494	1.8600	1.8890	2.0130	2.0480
cosmos	284	3	1	0	2.0665	1.8640	1.9560	2.1730	2.3140
cosmos	285	3	1	0	1.5388	1.1370	1.3130	1.7880	2.0010
cosmos	286	3	0	0	0.0100	0.0100	0.0110	0.0240	0.0250
cosmos	287	3	1	0	4.3730	4.1920	4.2600	4.4890	4.5700
cosmos	288	3	1	0	1.4555	1.2310	1.3270	1.5650	1.6700
cosmos	289	3	1	0	1.3028	1.1420	1.1980	1.3740	1.4350
cosmos	290	3	1	0	4.3664	4.1440	4.2390	4.4970	4.5960
cosmos	291	3	1	0	4.3416	4.1970	4.2530	4.4330	4.4970
cosmos	292	3	1	0	3.1082	2.9710	3.0330	3.1860	3.2410
cosmos	293	3	1	0	3.2450	3.1200	3.1720	3.3250	3.3800
cosmos	294	3	1	0	2.3308	2.2200	2.2640	2.3960	2.4770
cosmos	295	3	1	0	0.2841	0.2640	0.2680	0.2990	0.3100
cosmos	296	3	1	0	0.9398	0.8970	0.9140	0.9680	0.9760
cosmos	297	3	1	0	1.6936	1.4090	1.4950	1.8970	2.0100
cosmos	298	3	1	0	0.7412	0.6240	0.6970	0.7880	0.8600
cosmos	299	3	1	0	1.0788	0.1880	0.5370	1.0010	1.0610
cosmos	300	3	1	0	2.3569	2.2170	2.2850	2.4300	2.4770
cosmos	301	3	1	0	1.0071	0.8580	0.8900	1.1640	1.1970
cosmos	302	3	0	0	0.7191	0.5680	0.6020	0.8040	0.8260
cosmos	303	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	304	3	1	0	0.6388	0.5570	0.5890	0.7010	0.7690
cosmos	305	3	1	0	2.2873	2.1110	2.1620	2.4220	2.4770
cosmos	306	3	1	0	1.7452	1.5980	1.6750	1.8210	1.8850
cosmos	307	3	0	0	2.4395	2.1730	2.2950	2.5890	2.6230
cosmos	308	3	0	0	1.5809	1.4230	1.4870	1.7010	1.7650
cosmos	309	3	1	0	5.7763	5.6460	5.7140	5.9420	5.9580
cosmos	310	3	1	0	2.9690	2.7190	2.8550	3.0980	3.2110
cosmos	311	3	1	0	0.6892	0.6060	0.6710	0.7180	0.7350
cosmos	312	3	1	0	1.8684	1.7050	1.7580	1.9510	1.9920
cosmos	313	3	1	0	0.8656	0.7310	0.7880	0.9460	0.9790
cosmos	314	3	1	0	0.8832	0.2500	0.5550	1.1560	1.3050
cosmos	315	3	1	0	1.9189	0.4530	0.7500	3.2890	5.1290
cosmos	316	3	0	0	2.7268	2.5080	2.6490	2.8110	2.8550
cosmos	317	3	1	0	0.1045	0.0370	0.0640	0.1660	1.6330
cosmos	318	3	0	0	0.7936	0.7560	0.7670	0.8210	0.8390
cosmos	319	3	1	0	1.9856	1.9410	1.9560	2.0760	2.1460
cosmos	320	3	1	0	0.7290	0.6050	0.6850	0.7750	0.8170
cosmos	321	3	1	0	0.6787	0.5980	0.6410	0.7190	0.7510
cosmos	322	3	1	0	4.4676	4.2030	4.3170	4.6130	4.7200
cosmos	323	3	1	0	1.7407	1.3670	1.5610	1.9010	2.0280
cosmos	324	3	1	0	1.4020	0.9170	1.0970	1.7030	1.9150
cosmos	325	3	1	0	1.4772	1.1280	1.2490	1.4760	1.5100
cosmos	326	3	1	0	2.4470	1.7440	2.2020	2.6880	2.8280
cosmos	327	3	1	0	2.8724	2.7400	2.8000	2.9490	3.0040
cosmos	328	3	1	0	1.4398	1.1070	1.2170	1.6630	2.0110
cosmos	329	3	1	0	1.0009	0.5990	0.7800	1.1790	1.3980
cosmos	330	3	1	0	0.5565	0.4970	0.5250	0.5900	0.6180
cosmos	331	3	1	0	2.0635	1.2100	1.8890	2.3380	2.5160
cosmos	332	3	1	0	1.4313	1.2250	1.3040	1.5530	1.6870
cosmos	333	3	0	0	2.8159	2.6920	2.7470	2.8840	2.9270
cosmos	334	3	1	0	0.8837	0.7440	0.8110	0.9570	1.0060
cosmos	335	3	1	0	0.6934	0.6280	0.6550	0.7320	0.7710
cosmos	336	3	1	0	0.7424	0.6810	0.7040	0.7840	0.8240
cosmos	337	3	1	0	1.5160	1.2790	1.3670	1.6550	1.7910
cosmos	338	3	1	0	0.8760	0.8450	0.8510	0.8990	0.9170
cosmos	339	3	1	0	1.1708	1.1060	1.1340	1.2090	1.2440
cosmos	340	3	1	0	1.0032	0.7640	0.9000	1.1090	1.1770
cosmos	341	3	1	0	3.1000	2.9520	3.0120	3.1930	3.2500
cosmos	342	3	1	0	3.0655	0.4530	1.9960	3.9200	4.1900
cosmos	343	3	1	0	1.0068	0.9780	0.9830	1.0310	1.0360
cosmos	344	3	1	0	0.4559	0.2770	0.3730	0.5300	0.6200
cosmos	345	3	1	0	1.7177	1.6670	1.6890	1.7600	1.7710
cosmos	346	3	1	0	1.1525	1.0450	1.1080	1.1990	1.2620
cosmos	347	3	1	0	5.7653	5.4470	5.6530	5.9360	5.9570
cosmos	348	3	1	0	0.7092	0.6730	0.6880	0.7320	0.7440
cosmos	349	3	0	0	0.0100	0.0100	0.0110	0.0240	0.0250
cosmos	350	3	1	0	0.0100	0.0100	0.0110	0.0280	0.0500
cosmos	351	3	1	0	4.8488	4.6450	4.7270	4.9740	5.1060
cosmos	352	3	1	0	0.2084	0.1910	0.1950	1.6240	1.6650
cosmos	353	3	1	0	0.2212	0.2030	0.2070	0.2370	0.2480
cosmos	354	3	1	0	0.2240	0.1580	0.1780	0.3000	0.3510
